tier,position_bracket,max_leverage,maintenance_margin_rate,maintenance_amount
1,0 - 25000,20x,0.03,0
2,25000 - 100000,10x,0.05,500
3,100000 - 250000,5x,0.1,5500
4,250000 - 1000000,2x,0.125,11750
5,1000000 - 3000000,1x,0.5,386750
