tier,position_bracket,max_leverage,maintenance_margin_rate,maintenance_amount
1,0 - 100000,100x,0.005,0
2,100000 - 250000,75x,0.0065,150
3,250000 - 1000000,25x,0.01,1025
4,1000000 - 5000000,15x,0.02,11025
5,5000000 - 10000000,10x,0.05,161025
6,10000000 - 20000000,5x,0.1,661025
7,20000000 - 40000000,4x,0.125,1161025
8,40000000 - 80000000,3x,0.15,2161025
9,80000000 - 150000000,2x,0.25,10161025
10,150000000 - 300000000,1x,0.5,47661025
