tier,position_bracket,max_leverage,maintenance_margin_rate,maintenance_amount
1,0 - 375000,25x,0.02,0
2,375000 - 2000000,10x,0.05,11250
3,2000000 - 4000000,5x,0.1,111250
4,4000000 - 10000000,4x,0.125,211250
5,10000000 - 20000000,3x,0.15,461250
6,20000000 - 40000000,2x,0.25,2461250
7,40000000 - 400000000,1x,0.5,12461250
