tier,position_bracket,max_leverage,maintenance_margin_rate,maintenance_amount
1,0 - 50000,125x,0.004,0
2,50000 - 250000,100x,0.005,50
3,250000 - 1000000,25x,0.01,1300
4,1000000 - 10000000,15x,0.025,16300
5,10000000 - 20000000,10x,0.05,266300
6,20000000 - 50000000,5x,0.1,1266300
7,50000000 - 100000000,4x,0.125,2516300
8,100000000 - 200000000,3x,0.15,5016300
9,200000000 - 300000000,2x,0.25,25016300
10,300000000 - 500000000,1x,0.5,100016300
