tier,position_bracket,max_leverage,maintenance_margin_rate,maintenance_amount
1,0 - 5000,25x,0.02,0
2,5000 - 25000,10x,0.05,150
3,25000 - 100000,5x,0.1,1400
4,100000 - 250000,4x,0.125,3900
5,250000 - 1000000,2x,0.25,35150
6,1000000 - 2147483647,1x,0.5,285150
