tier,position_bracket,max_leverage,maintenance_margin_rate,maintenance_amount
1,0 - 100000,11x,0.025,0
2,100000 - 500000,10x,0.05,2500
3,500000 - 1000000,5x,0.1,27500
4,1000000 - 2000000,3x,0.15,77500
5,2000000 - 5000000,2x,0.25,277500
6,5000000 - 8000000,1x,0.5,1527500
