tier,position_bracket,max_leverage,maintenance_margin_rate,maintenance_amount
1,0 - 50000,50x,0.004,0
2,50000 - 100000,25x,0.005,50
3,100000 - 1000000,20x,0.01,550
4,1000000 - 5000000,10x,0.025,15550
5,5000000 - 10000000,6x,0.05,140550
6,10000000 - 20000000,5x,0.1,640550
7,20000000 - 40000000,4x,0.125,1140550
8,40000000 - 80000000,3x,0.15,2140550
9,80000000 - 150000000,2x,0.25,10140550
10,150000000 - 300000000,1x,0.5,47640550
