tier,position_bracket,max_leverage,maintenance_margin_rate,maintenance_amount
1,0 - 5000,20x,0.015,0
2,5000 - 25000,10x,0.025,50
3,25000 - 100000,8x,0.05,675
4,100000 - 250000,5x,0.1,5675
5,250000 - 1000000,2x,0.125,11925
6,1000000 - 5000000,1x,0.5,386925
