tier,position_bracket,max_leverage,maintenance_margin_rate,maintenance_amount
1,0 - 5000,20x,0.004,0
2,5000 - 25000,15x,0.005,5
3,25000 - 100000,10x,0.01,130
4,100000 - 500000,7x,0.025,1630
5,500000 - 2000000,6x,0.05,14130
6,2000000 - 5000000,5x,0.1,114130
7,5000000 - 10000000,4x,0.125,239130
8,10000000 - 20000000,3x,0.15,489130
9,20000000 - 2147483647,2x,0.25,2489130
