tier,position_bracket,max_leverage,maintenance_margin_rate,maintenance_amount
1,0 - 50000,25x,0.01,0
2,50000 - 150000,20x,0.025,750
3,150000 - 250000,10x,0.05,4500
4,250000 - 500000,5x,0.1,17000
5,500000 - 1000000,4x,0.125,29500
6,1000000 - 2000000,2x,0.25,154500
7,2000000 - 30000000,1x,0.5,654500
