tier,position_bracket,max_leverage,maintenance_margin_rate,maintenance_amount
1,0 - 5000,8x,0.023,0
2,5000 - 25000,7x,0.025,10
3,25000 - 100000,6x,0.05,635
4,100000 - 250000,5x,0.1,5635
5,250000 - 1000000,2x,0.125,11885
6,1000000 - 2000000,1x,0.5,386885
