tier,position_bracket,max_leverage,maintenance_margin_rate,maintenance_amount
1,0 - 10000,8x,0.025,0
2,10000 - 50000,7x,0.05,250
3,50000 - 200000,6x,0.08,1750
4,200000 - 400000,5x,0.1,5750
5,400000 - 1000000,4x,0.125,15750
6,1000000 - 2000000,3x,0.1665,57250
7,2000000 - 3000000,2x,0.25,224250
8,3000000 - 10000000,1x,0.5,974250
