tier,position_bracket,max_leverage,maintenance_margin_rate,maintenance_amount
1,0 - 50000,50x,0.004,0
2,50000 - 250000,25x,0.005,50
3,250000 - 1000000,20x,0.01,1300
4,1000000 - 7500000,10x,0.025,16300
5,7500000 - 40000000,6x,0.05,203800
6,40000000 - 100000000,5x,0.1,2203800
7,100000000 - 200000000,4x,0.125,4703800
8,200000000 - 400000000,3x,0.15,9703800
9,400000000 - 600000000,2x,0.25,49703800
10,600000000 - 1000000000,1x,0.5,199703800
