tier,position_bracket,max_leverage,maintenance_margin_rate,maintenance_amount
1,0 - 150000,12x,0.02,0
2,150000 - 250000,11x,0.025,750
3,250000 - 1000000,10x,0.05,7000
4,1000000 - 2000000,5x,0.1,57000
5,2000000 - 5000000,4x,0.125,107000
6,5000000 - 10000000,2x,0.25,732000
7,10000000 - 11000000,1x,0.5,3232000
