tier,position_bracket,max_leverage,maintenance_margin_rate,maintenance_amount
1,0 - 50000,25x,0.01,0
2,50000 - 250000,20x,0.02,500
3,250000 - 1000000,10x,0.05,8000
4,1000000 - 2000000,5x,0.1,58000
5,2000000 - 5000000,4x,0.125,108000
6,5000000 - 10000000,3x,0.1665,315500
7,10000000 - 15000000,2x,0.25,1150500
8,15000000 - 20000000,1x,0.5,4900500
