tier,position_bracket,max_leverage,maintenance_margin_rate,maintenance_amount
1,0 - 25000,8x,0.025,0
2,25000 - 250000,6x,0.05,625
3,250000 - 500000,5x,0.1,13125
4,500000 - 1000000,4x,0.125,25625
5,1000000 - 1500000,2x,0.25,150625
6,1500000 - 2000000,1x,0.5,525625
