tier,position_bracket,max_leverage,maintenance_margin_rate,maintenance_amount
1,0 - 10000,50x,0.0065,0
2,10000 - 50000,40x,0.01,35
3,50000 - 250000,25x,0.02,535
4,250000 - 1000000,10x,0.05,8035
5,1000000 - 2000000,5x,0.1,58035
6,2000000 - 5000000,4x,0.125,108035
7,5000000 - 10000000,3x,0.15,233035
8,10000000 - 20000000,2x,0.25,1233035
9,20000000 - 50000000,1x,0.5,6233035
