tier,position_bracket,max_leverage,maintenance_margin_rate,maintenance_amount
1,0 - 250000,25x,0.02,0
2,250000 - 1000000,10x,0.05,7500
3,1000000 - 2000000,5x,0.1,57500
4,2000000 - 5000000,4x,0.125,107500
5,5000000 - 10000000,3x,0.15,232500
6,10000000 - 9223372036854776000,2x,0.25,1232500
