tier,position_bracket,max_leverage,maintenance_margin_rate,maintenance_amount
1,0 - 50000,20x,0.02,0
2,50000 - 150000,10x,0.025,250
3,150000 - 250000,8x,0.05,4000
4,250000 - 500000,5x,0.1,16500
5,500000 - 1000000,4x,0.125,29000
6,1000000 - 4000000,2x,0.25,154000
7,4000000 - 5000000,1x,0.5,1154000
